2
368
384
1174

@EQUIPMENT_ADDON;Lista de Addons
~prof_para_$_phy_damage;Um guerreiro de um ataque Físico
~prof_para_$_magic_damage;Um guerreiro de ataque Mágico
~prof_para_$_phy_defence;Guerreiro de segurança Física
~prof_para_$_magic_defence;Guerreiro Mágico de proteção
~rand_skill_group_$_probability;Probabilidade do Grupo $1 
~rand_skill_group_$_list_$;Conjuto de habilidades do grupo $1-$2
~list_$_task_id;Quest $1 ID
~list_$_file_icon;Quest $1 Ícone
~list_$_file_gfx;Astrolábio $1 GFX
~list_$_color;Cor item $1
~page_$_title;Título $1
~page_$_item_$_id;Assunto
~page_$_item_$_num;Quantidade $1-$2
~page_$_item_$_price;Preço
~page_$_item_$_expire_timelength;Tempo de duração (segundos)
~dynamic_colors_$;Cor $1
~sub_titles_$;Trebes. título $1
~list_$_require_level;Nível necessário $1
~list_$_require_power;Poder necessário $1
~list_$_gain_ratio;Melhoria $1
~level_$_require_item;Item necessário do Despertar $1
~level_$_exp_premote;Taxa de EXP do Despertar $1
~history_stage_id_$;História $1
~require_level_$;Nível necessário $1
~require_maxlevel_$;Nível máximo $1
~require_num_$;Número de jogadores $1
~num_prof_$;Profissão $1
~require_level$;Nível necessário $1
~require_reincarnation_times_$;Trebes. o renascimento (min)
~require_realm_level_$;Trebes. o nível do céu (min)
~trans_pos_$;Coordenadas TP (X)
~worldtag_from_$;A partir de que viver pode ser teleport. $1
~day_$_$;A partir de que ano
~daytime_$;Horário do Evento
~award_$;Recompesa $1
~list_$_level_$_require_exp;Céu $1 Nível $2 Pontos Arcanos Necessário
~list_$_level_$_vigour;Céu $1 Nível $2 moral
~mines_$_id;Mina $1 ID
~mines_$_power;Mina $1 Energia
~exp_adjust_$;O multiplicador de experiência $1
~list_$;Item $1
~list_$_probability;Probabilidade $1
~require_control_point_$;Liderança necessária
~item_$;Quest $1
~list_$_domain_count;Lista $1 o Número de territórios
~list_$_minebase_gen_count;Lista $1 o Número de repositórios
~list_$_points_per_gen_minecar;Lista $1 o Número de recursos na charrete
~list_$_base_points;Lista $1 Mínima quantidade de recursos
~list_$_minecar_count_can_rob;Lista $1 o Número de roubos de veículos puxados
~list_$_minebase_count_can_rob;Lista $1 o Número de roubos de armazenamento
~config_id_$;ID > $1
~uniform_weight_list_$_probability;Folha $1 Probabilidade De
~uniform_weight_list_$_weight;Folha $1 Óculos
~uniform_weight_list_$_task_list_config_id;Folha $1 Lista de missões
~list_$_num;Quantidade $1
~rands_$_max_appear_times_rand;Quantidade máxima
~increase_probability_$;Probabilidade $1
~prof_list_$_gender_list_$_item_id;Guerreiro
~levelup_exp_$;Nível $1 Energial Astral
~rand_probability_$_$;Nível $1 Probabilidade $2
~list_$_name_color;Cor $1 do Astrolábio
~level_list_$_hole_list_$_require_item_id;Nível $1 Item $2
~level_list_$_hole_list_$_require_item_count;Quantidade
~level_list_$_hole_list_$_price;Custo
~room_$_trans_pos_$;Tela $1 Coord. TP $2
~room_$_controller_id_to_activate_$;Torre $1 ID é ativado controlador $2
~controller_id_to_deactivate_$;ID desabilitada controlador $1
~steps_$_playing_method_controller_$;Fase $1 ID do controlador de teste $2
~steps_$_playing_method_boss_controller;Fase $1 ID do controlador de teste Boss
~list_$_count;Quantidade $1
~level_$_award_page_config_id;Recompensa Andar $1
~level_$_draw_award_times;Máximo
~level_$_award_score;Quantidade $1
~score_buff_list_$_score_cost;Lustre $1 Tarifa
~score_buff_list_$_cooldown_id;Lustre $1 ID de recuperação
~score_buff_list_$_cooldown_time;Lustre $1 o Tempo de recuperação
~score_buff_list_$_param_$;Lustre $1 O Valor De $2
~score_buff_list_$_param_comment;Lustre $1 Comentar. aos valores de
~attacker_resource_tower_$_controller_id_$;Recurso da torre (Ataque) $1 ID de controlador $2
~attacker_resource_tower_$_guard_controller_id;Recurso da torre (Ataque) $1 ID de controlador de atalaia
~attacker_resource_tower_$_matter_id;Recurso torre (Ataque) $1 ID da mina
~defender_resource_tower_$_controller_id_$;Ресурсная torre (Proteção) $1 ID de controlador $2
~defender_resource_tower_$_guard_controller_id;Recurso torre (Proteção) $1 ID de controlador de atalaia
~defender_resource_tower_$_matter_id;Ресурсная torre (Proteção) $1 ID da mina
~neutral_tower_$_controller_id_$;Neutro torre $1 ID de controlador $2
~neutral_tower_$_matter_id;Neutro torre $1 ID da mina
~domain_attacker_incoming_pos_$;Coord. início de sessão (Ataque) $1
~domain_defender_incoming_pos_$;Coord. início de sessão (Proteção) $1
~domain_attacker_transmit_pos_$;Coord. TP (Ataque) $1
~domain_defender_transmit_pos_$;Coord. TP (Protecção) $1
~domain_resurrect_pos_$_resurrect_pos_$;A área da ressurreição $1 Coord. $2
~domain_resourse_point_pos_$_resourse_point_pos_$;Fonte de recursos $1 Coord. $2
~domain_transmit_pos_$_controller_id_$;Teleporte $1 ID de controlador $2
~domain_transmit_pos_$_matter_id;Teleport $1 ID da mina
~domain_transmit_pos_$_transmit_pos_$;Teleport $1 Coord. TP $2
~upgrade_$_need_exp;Experiência: Moradia Nv. $1
~upgrade_$_need_history_max_level;Nv. Necessário do Personagem $1
~upgrade_$_need_reincarnation_times;Renascimento do Personagem $1
~upgrade_$_need_realmlevel;Cultivo Primitivo: Moradia Nv. $1
~level_$_energy;Energia Moradia Nv. $1
~level_$_prosperous;Prosperidade Moradia Lv. $1
~level_$_clean;Limpeza Moradia Nv. $1
~level_$_max_grain_capacity;Alimento Moradia Nv. $1
~level_$_max_resource_capacity;Capacidade de Recursos Moradia Nv. $1
~map_unlock_$_home_level;Terreno Lv. $1
~map_unlock_$_need_item_id;Item de Desbloqueio de Terreno da Moradia
~map_unlock_$_need_item_count;Quantidade
~produce_items_$_id;Fabricado pelo $1 ID
~produce_items_$_probability;Probabilidade $1
~produce_items_$_num;Quantidade $1
~level_$_max_capacity;Nível $1 Máxima de recursos
~level_$_max_add_energy_time;Nível $1 Tempo Máximo de Produção
~level_$_produce_multiple;Nível $1 Multiplicador de Produção
~level_$_upgrade_need_home_level;Nível $1 Trebes. o nível da casa
~level_$_upgrade_consume_stone_num;Nível $1 Trebes. pedra
~level_$_upgrade_consume_wood_num;Nível $1 Trebes. madeira
~level_$_upgrade_consume_iron_num;Nível $1 Trebes. Ferro
~level_$_upgrade_consume_cloth_num;Nível $1 Trebes. tecido
~level_$_upgrade_consume_grain_num;Nível $1 Trebes. alimento
~level_$_upgrade_consume_money;Nível $1 Necessidade de Moedas
~material_$_home_item_id;Material $1 ID do objeto para o lar
~material_$_normal_item_id;Material $1 ID normal assunto
~material_$_item_count;Material $1 a Quantidade de itens
~produce_list_$_formulas_id;Folha $1 ID receita
~produce_list_$_level;Folha $1 Nível
~data_start_$;Ano do lançamento
~task_storage_$_task_out_service_id;Quests $1 ID da lista de missões
~task_storage_$_flourish_min;Quests $1 Trebes. a prosperidade (min)
~task_storage_$_flourish_max;Quests $1 Trebes. a prosperidade (máximo)
~task_storage_$_random_weight;Quests $1 um número Aleatório
~special_item_count_rand_$;Probabilidade $1
~list_$_level;Item $1 Nível
~cost_$;Custo $1
~data_end_$;Ano do fim
~award_$_id;A coisa $1 ID
~award_$_probability;Item $1 Probabilidade
~award_$_number;Item Número $1 comprador
~enemy_$_race;O Inimigo $1 Raça
~enemy_$_probability;O Inimigo $1 Chance
~inc_resource_produce_$;Bônus de kamen. assist.
~race_$;Raça $1
~enemy_race_$;Raça inimigo $1
~level_$_cost;Nível $1 Tarifa Fragmento de Miragem
~level_$_inc;Nível $1 Multiplicador de força
~reward_$_cost;Recompensa $1 Pontos Necessários
~reward_$_id;Recompensa $1 ID
~reward_$_count;Recompensa $1 Quantidade
~targets_$_num_to_make;Quantidade $1
~trans_pos_$_$;Coordenadas TP $1-$2
~rank_$_unk$;Categoria $1 unk $2
~rank_$_points_min;Categoria $1 Óculos (min)
~rank_$_points_max;Categoria $1 Pontos (máximo)
~pages_$_require_point;Guia $1 Trebes. pontos
~pages_$_goods_$_point_cost;Trebes. pontos
~list_$_skills_id_skill_base;Lista $1 ID habilidade de runa base
~list_$_skills_id_skill_rune_$;Lista $1 ID habilidade de runa $2
~level_$_probability_$;Runa Nv. $1 Probabilidade $2
~list_$_area_id;Lista $1 ID de local
~list_$_config_id;Lista $1 ID configurações
~items_$;Item $1 ID
~skills_$;Habilidade $1
~parts_$_unk$;Parte $1 unk $2
~parts_$_monster_id;Parte $1 ID do monstro
~parts_$_skills_id_skill_$;Parte $1 ID Aptidão $2
~parts_$_skills_level_skill_$;Parte $1 o Nível de aptidão $2
~pos_$;Coord. $1
~param_$;Parâmetro $1
~materials_$_point;Material $1 Quantidade de Crédito
~targets_$_id;ID do Crédito $1
~targets_$_num;ID do Crédito $1 Quantidade
~choice_$;A opção $1
~award_$_item_id;Item $1 - ID
~award_$_word;Item $1 Mensagem
~award_$_item_count;Item $1 - Quantidade
~award_$_unk$;Recompensa $1 unk $2
~produce_method_$_line;O método de produção do $1 Maneira
~produce_method_$_desc;O método de produção do $1 Descrição
~recipe_id_$;Receita $1
~source_task_$_id;Fonte quest $1 ID
~source_task_$_desc;Fonte quest $1 Descrição
~source_instance_$_id;Fonte данж $1 ID
~source_instance_$_desc;Fonte данж $1 Descrição
~source_event_$_id;Origem do evento $1 ID
~source_event_$_desc;Origem do evento $1 Descrição
~source_recipe_id_$;Fonte de receita ID $1
~level_$_talent_id_$;Nível $1 ID talento $2
~level_$_faction_money_cost;Nível $1 Custo de Ouro do Clã
~targets_$_desc;Objetivos $1 Descrição
~targets_$_target_monster;Objetivos $1 o Objetivo do monstro
~targets_$_unk$;Objetivos $1 unk $2
~targets_$_target_common_value_id$;Objetivos $1 o Objetivo ID globe. a variável $2
~targets_$_target_common_value$;Objetivos $1 o Objetivo valor globe. a variável $2
~target_id_$;ID objetivo da guilda $1
~feed_config_id_$;ID definições de alimentação $1
~bless_$_confidence;Presente Do $1 Trebes. conforto
~bless_$_happy;Presente Do $1 Trebes. felicidade
~bless_$_feed;Presente Do $1 Trebes. a saciedade
~bless_$_bless_config_id;Presente do $1 ID do presente do animal de estimação
~list_$_require_item_id;Folha $1 ID trebes. assunto
~list_$_require_item_count;Folha $1 o Número de opc. assunto
~list_$_desc;Folha $1 Descrição
~list_$_time;Folha $1 Hora
~list_$_controller_id;Folha $1 ID do controlador
~list_$_unk$;Folha $1 unk $2
~list_$_item_id;Folha $1 ID do objeto
~list_$_item_count;Folha $1 a Quantidade do objeto
~area_$_pos_min_$;Refeições $1 Coord. min $2
~area_$_pos_max_$;Refeições $1 Coord. max $2
~drop_$_goal_value;Drop $1 o Significado do sucesso
~drop_$_bottle_drop_cunfig_id;Drop $1 ID configurações
~file_fill_img_$;A imagem de preenchimento do progresso $1
~drop_$_item_id;Drop $1 ID
~drop_$_probability;A chance de
~drop_$_item_count;O número de
~pages_$_goods_$_faction_money_cost;Ouro guilda
~pages_$_goods_$_expire;Temporário
~faction_drop_matters_$_id;Uma gota de guild $1 ID
~faction_drop_matters_$_count;Uma gota de guild $1 o Número de
~whitelist_$;Tipo de folha $1
~magic_defences_$;Defesa madeira
~magic_defence_$;Defesa mágica $1
~inc_magic_defence_$;Defesa Mágica $1
~list_$_materials_$_id;Lista $1 Material $2 ID
~list_$_materials_$_num;Lista $1 Material $2 Número
~list_$_max_produce_times;Lista $1 Max Produce Times
~list_$_require_cash;Lista $1 Require Cash
~list_$_expire_timelength;Lista $1 Expire Timelength
~list_$_upgrade_rate;Lista $1 Upgrade Rate
~list_$_engrave_upgrade_rate;Lista $1 Engrave Upgrade Rate
~list_$_addon_inherit_fee_rate;Lista $1 Addon Inherit Fee Rate
~probability_level_$;Probabilidade Nível $1
~award_$_require_point;Recompensa $1 Pontos Requiridos
~items_$_$_probability;Item $1-$2 Probabilidade
~items_$_$_count;Item $1-$2 Quantidade
~items_$_$_id;Item $1-$2 ID
~items_$_$_expire;Item $1-$2 Especial
~file_tex$;Arquivo de Textura $1
~list_$_consume;Lista $1 de Consumo
~questions_$_question_tip;Questionário $1 Pergunta
~questions_$_answer_tip_$;Questionário $1 Resposta da Pergunta $2
~level_$_name;Nível $1 Nome
~level_$_require_point;Nível $1 Pontos Requeridos
~level_$_task_id_space;Nível $1 Espaço de ID na Missão
~level_$_item_id;Nível $1 ID do Item
~level_$_task_id;Nível $1 ID da Missão
~require_exp_$;Exp Requerida $1
~max_color_level_$;Nível Máximo de Cor $1
~equipment_$_addon_$;Equipmento $1 Addon $2
~pages_$_id_engraves_$;Página $1 Grávura ID $2
~item_$_cash;Preço do Item $1 em Gold
~item_$_file_icon;Ícone do Item $1
~tasks_$_id_space;Missão $1 ID
~tasks_$_id;Missão $1 ID
~level_$_param$;Nível $1 Quantidade $2
~level_$_trans_cost;Nível $1 Transferencia (Custa) Pedra Céu da Terra
~level_$_success_probability;Nível $1 Probabilidade de Sucesso
~level_$_levelup_addon_rate;Nível $1 Levelup Addon Rate
~list_$_price;Lista $1 Preço
